Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,1339.849976,1354.474976,1326.275024,1334.699951,1130.452393,2176038
2015-03-03,1341.000000,1395.000000,1338.074951,1388.000000,1175.595947,3424308
2015-03-04,1394.000000,1406.050049,1357.824951,1373.000000,1162.891235,3862994
2015-03-05,1375.000000,1385.349976,1340.525024,1348.224976,1141.907837,2173514
2015-03-09,1320.000000,1339.900024,1305.000000,1323.400024,1120.881714,2883174
2015-03-10,1324.449951,1339.125000,1297.625000,1321.349976,1119.145386,3037052
2015-03-11,1321.000000,1329.974976,1298.900024,1303.275024,1103.835815,2240200
2015-03-12,1311.949951,1312.449951,1295.050049,1309.525024,1109.129761,1827636
2015-03-13,1319.000000,1319.974976,1287.500000,1291.175049,1093.587891,1586838
2015-03-16,1292.599976,1305.000000,1276.000000,1281.150024,1085.097046,1556296
2015-03-17,1291.250000,1303.349976,1278.875000,1291.849976,1094.159790,1267318
2015-03-18,1295.474976,1299.724976,1275.849976,1279.675049,1083.847778,1255170
2015-03-19,1288.000000,1302.925049,1284.050049,1298.125000,1099.474365,2448964
2015-03-20,1298.000000,1309.000000,1289.425049,1305.474976,1105.699707,1963908
2015-03-23,1308.000000,1315.500000,1303.000000,1308.574951,1108.325195,1566608
2015-03-24,1315.000000,1318.500000,1291.050049,1295.650024,1097.378418,2394878
2015-03-25,1295.699951,1307.000000,1272.599976,1286.875000,1089.946045,2224858
2015-03-26,1276.650024,1293.349976,1250.500000,1256.550049,1064.261719,3091642
2015-03-27,1265.500000,1285.949951,1252.050049,1257.400024,1064.981445,2751776
2015-03-30,1262.500000,1284.949951,1260.000000,1282.074951,1085.880371,1339006
2015-03-31,1284.724976,1284.724976,1260.500000,1276.974976,1081.561035,2427028
2015-04-01,1279.000000,1281.800049,1261.125000,1271.324951,1076.775269,2075758
2015-04-06,1279.000000,1281.449951,1250.050049,1273.650024,1078.744507,1568542
2015-04-07,1281.224976,1299.500000,1272.000000,1292.500000,1094.710327,1886922
2015-04-08,1297.000000,1328.250000,1295.425049,1320.699951,1118.594727,1652134
2015-04-09,1329.500000,1343.724976,1317.574951,1332.275024,1128.398193,2544450
2015-04-10,1324.250000,1335.400024,1314.000000,1326.875000,1123.825073,1815544
2015-04-13,1332.000000,1332.500000,1314.000000,1327.750000,1124.565796,1308642
2015-04-15,1327.349976,1356.949951,1304.699951,1313.875000,1112.814209,2913934
2015-04-16,1313.474976,1313.500000,1285.675049,1291.400024,1093.778564,3217570
2015-04-17,1278.550049,1280.000000,1235.000000,1237.425049,1048.063110,9668742
2015-04-20,1240.025024,1241.949951,1212.425049,1214.400024,1028.561646,2890722
2015-04-21,1214.400024,1226.000000,1200.500000,1213.525024,1027.820679,2546032
2015-04-22,1215.750000,1236.500000,1203.775024,1222.550049,1035.464722,4186812
2015-04-23,1236.000000,1239.900024,1215.849976,1228.625000,1040.609863,4342990
2015-04-24,1227.650024,1257.000000,1223.775024,1246.525024,1055.770508,3625158
2015-04-27,1249.750000,1260.000000,1243.000000,1250.099976,1058.798462,2733052
2015-04-28,1255.000000,1255.000000,1227.550049,1247.500000,1056.596436,3088298
2015-04-29,1242.000000,1247.500000,1225.525024,1243.650024,1053.335693,2019620
2015-04-30,1240.000000,1245.000000,1213.550049,1231.849976,1043.341187,3738054
2015-05-04,1245.500000,1252.400024,1228.599976,1240.775024,1050.900757,1890630
2015-05-05,1250.500000,1268.224976,1250.000000,1258.925049,1066.273193,3255070
2015-05-06,1257.500000,1257.500000,1227.900024,1231.525024,1043.066162,3394406
2015-05-07,1232.449951,1276.875000,1226.849976,1272.625000,1077.876343,3205028
2015-05-08,1280.000000,1294.000000,1258.150024,1263.625000,1070.253662,3003664
2015-05-11,1267.500000,1281.525024,1262.500000,1278.000000,1082.429199,2573082
2015-05-12,1280.000000,1282.500000,1256.500000,1261.449951,1068.411499,2467386
2015-05-13,1273.500000,1273.500000,1240.224976,1257.699951,1065.235596,1863774
2015-05-14,1260.000000,1260.000000,1242.500000,1249.625000,1058.396240,1309050
2015-05-15,1257.500000,1266.199951,1250.500000,1255.574951,1063.435669,1461454
2015-05-18,1257.050049,1262.625000,1248.550049,1260.199951,1067.353271,4507752
2015-05-19,1259.699951,1265.000000,1248.375000,1256.349976,1064.092041,1957722
2015-05-20,1260.000000,1284.949951,1258.449951,1278.525024,1082.873535,1897814
2015-05-21,1278.500000,1290.000000,1274.074951,1277.750000,1082.217163,1579578
